coaster_name,Length,Location,Status,Manufacturer,Height restriction,Model,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,Designer,Max vertical angle,Drop,Soft opening date,Fast Lane available,Replaced,Track layout,Fastrack available,Closing date,Opened,Replaced by,Website,Flash Pass Available,Must transfer from wheelchair,Theme,Single rider line available,Restraint Style,Flash Pass available,Acceleration,Restraints,Name,year_introduced,latitude,longitude,Type_Main,opening_date_clean,speed1,speed2,speed1_value,speed1_unit,speed_mph,height_value,height_unit,height_ft,Inversions_clean,Gforce_clean
Klondike Gold Mine (roller coaster),,Other,,Pinfari,,ZL42,,,,,,,Pinfari,,,,,,,,,,,,,,,,,,,,,2015,,,Steel,,,,,,,,,,1,
Laff Trakk,"1,400 ft (430 m)",Hersheypark,Operating,Maurer AG,42–76 in (107–193 cm),,Chain,"$14,000,000[1]",,Midway America,1:10,850 riders per hour,,,,,,,Indoor-Spinning Glow,,,,,,,,,,,,,,,2015,40.2935,-76.6551,Steel,5/23/2015,40 mph ,64 km/h,40,mph,40,51,ft,,0,
Oblivion: The Black Hole,"1,856.9 ft (566.0 m)",Gardaland,Operating,Bolliger & Mabillard,140–195 cm (4 ft 7 in–6 ft 5 in),Dive Coaster,Chain lift hill,,3 trains with 3 cars. Riders are arranged 6 across in a single row for a total of 18 riders per train.,Space Section,,1890 riders per hour,,87°,,,,,,,,,,,,,,,,,,,,2015,45.4582,10.7111,Steel,3/28/2015,62.2 mph ,100.1 km/h,62.2,mph,62.2,139.4,ft,,2,
Octonauts Rollercoaster Adventure,469.2 ft (143.0 m),Alton Towers,Operating,Zamperla,90 cm (2 ft 11 in),Junior Coaster,Booster Wheel Lift hill,,Single train with 7 cars. Riders are arranged 2 across in a single row for a total of 14 riders per train.,CBeebies Land,,,,,9.8 ft (3.0 m),,,Beastie,,,,,,,,,,,,,,,,2015,,,Steel,3/21/2015,,,,,,21.3,ft,,0,
Puss in Boots' Giant Journey,"426 m (1,398 ft)",Universal Studios Singapore,Operating,Zamperla,100 cm (3 ft 3 in),Custom,Spiral Lift,,,Far Far Away,,,,,,,,,,,,,,,,,,,,,,,,2015,1.2545,103.8245,Steel,4/8/2015,,,,,,17,m,55.8,0,
Rewind Racers,593.8 ft (181.0 m),Adventure City,Operating,Gerstlauer,39 in (99 cm),Family Coaster,Chain lift hill,"$2,000,000 ",Single train with 7 cars. Riders are arranged 2 across in a single row for a total of 14 riders per train.,,,,,,,,,Tree Top Racers,,,,,,Official website,,,,,,,,,,2015,33.8151,-117.993,Steel,6/6/2015,31.1 mph ,50.1 km/h,31.1,mph,31.1,39.3,ft,,0,
Rougarou (roller coaster),"3,900 ft (1,200 m)",Cedar Point,Operating,Bolliger & Mabillard,54–78 in (137–198 cm),Floorless Coaster,Chain lift hill,"US$12,000,000",3 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Millennium Midway,2:40,1800 riders per hour,Werner Stengel,52°,137 ft (42 m),,Fast Lane available,Mantis,,,,,,,,,,,,,,,,2015,41.4826,-82.6874,Steel,5/9/2015,60 mph ,97 km/h,60,mph,60,145,ft,,4,
T3 (roller coaster),"2,171.9 ft (662.0 m)",Kentucky Kingdom,Operating,Vekoma,52–79 in (132–201 cm),SLC (662m Prototype),Chain lift hill,,2 trains with 7 cars. Riders are arranged 2 across in a single row for a total of 14 riders per train.,,1:36,900 riders per hour,,,,,,,,,,,,,,,,,,,,,,2015,38.1941,-85.747,Steel,4/8/1995,49.7 mph ,80.0 km/h,49.7,mph,49.7,101.7,ft,,5,
Tempesto,863 ft (263 m),Busch Gardens Williamsburg,Operating,Premier Rides,54 in (137 cm),Sky Rocket II,LSM Launch Track,,Single train with 3 cars. Riders are arranged 2 across in 3 rows for a total of 18 riders per train.,Festa Italia,,,,,135 ft (41 m),,,,,,,,,,,,,,,,,,,2015,37.2347,-76.6421,Steel,4/25/2015,62 mph ,100 km/h,62,mph,62,150,ft,,1,
The Cú Chulainn Coaster,"1,092 m (3,583 ft)",Tayto Park,Operating,The Gravity Group,,,Chain lift hill,"€8,500,000",,,2:45,700 riders per hour,,,31 m (102 ft),,,,,,,,,,,,,,,,,,,2015,53.5427,-6.4628,Wood,6/6/2015,90 km/h ,56 mph,90,km/h,55.9,32,m,105,0,
The Oath of Kärnan,"1,235 m (4,052 ft)",Hansa-Park,Operating,Gerstlauer,130 cm (4 ft 3 in),Hypercoaster,Chain lift hill,~ 26.000.000 €,3 trains with a single car. Riders are arranged 4 across in 4 rows for a total of 16 riders per train.,,3:37 minutes,~ 200 riders per hour,Werner Stengel,90°,67 m (220 ft),,,,Terrain,,,,,,,,,,,,,,,2015,54.0769,10.78,Steel,7/1/2015,127 km/h ,79 mph,127,km/h,78.9,73,m,239.5,1,5
Turbulence (roller coaster),"1,253.3 ft (382.0 m)",Adventureland (New York),Operating,Mack Rides,44 in (112 cm),Spinning Coaster,Chain lift hill,"$5,000,000 ",2 trains with 3 cars. Riders are arranged 2 across in 2 rows for a total of 12 riders per train.,,,,,,,,,Hurricane,,,,,,Official website,,,,,,,,,,2015,40.7525,-73.4197,Steel,5/22/2015,40 mph ,64 km/h,40,mph,40,55,ft,,0,
Twisted Colossus,"4,990 ft (1,520 m)",Six Flags Magic Mountain,Operating,Rocky Mountain Construction,48 in (122 cm),I-Box – Custom,Chain lift hill,,4 (3 max. in use) trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Screampunk District,3:40,,Alan Schilke,80°,128 ft (39 m),,,Colossus,Möbius Loop with one station,,,,,,,Must transfer from wheelchair,,,,,,,,2015,34.4278,-118.5975,Steel,5/23/2015,57 mph ,92 km/h,57,mph,57,121,ft,,2,
Wicked Cyclone,"3,320 ft (1,010 m)",Six Flags New England,Operating,Rocky Mountain Construction,48 in (122 cm),I-Box,Chain lift hill,US$10 million,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,North End,,,Alan Schilke,78°,,,,Cyclone,Twister,,,,,,,,,,,,,,,2015,42.0403,-72.6156,Steel,5/24/2015,55 mph ,89 km/h,55,mph,55,109,ft,,3,
ZDT's Amusement Park,,ZDT's Amusement Park,Operating,The Gravity Group,,,Chain lift hill,,2 trains with 4 cars. Riders are arranged 2 across in a single row for a total of 8 riders per train.,,,700 riders per hour,,87°,58 ft (18 m),,,,,,,,,,,,,,,,,,,2015,,,Wood,10/17/2015,65 km/h ,40 mph,65,km/h,40.4,65,ft,,0,
Cobra's Curse,"2,100 ft (640 m)",Busch Gardens Tampa Bay,Operating,Mack Rides,42[1] in (107 cm),,Elevator liftWheel lift,,8 trains with 2 cars. Riders are arranged 2 across in 2 rows for a total of 8 riders per train.,Egypt,,1000 riders per hour,,,,,,King Tut's Tomb,,,,,,,,,,,,,,,,2016,,,Steel,6/17/2016,40 mph ,64 km/h,40,mph,40,70,ft,,0,
Flight of the Hippogriff,"1,099.1 ft (335.0 m)",Other,,"Vekoma (Orlando, Japan)Mack Rides (Hollywood, Beijing)",36 in (91 cm),"Junior Coaster (335m)[1] Youngstar Coaster (Hollywood, Beijing) [1]",Drive tire,,2 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,,1:06,,Universal Creative,,,,,,,,,,,,,Must transfer from wheelchair,,,,,,,,2016,,,Steel,,28.5 mph ,45.9 km/h,28.5,mph,28.5,42.7,ft,,0,
Flying Aces (roller coaster),"1,500 m (4,921 ft)",Ferrari World Abu Dhabi,Operating,Intamin,130 cm (4 ft 3 in),Wing Coaster (Intamin),Cable lift hill,,2 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,,,"1,008 riders per hour",,,,,,,,,,,,,,,,,,,,,,2016,,,Steel,2/24/2016,120 km/h ,75 mph,120,km/h,74.6,63,m,206.7,1,5
The Flying Dinosaur,"3,687.7 ft (1,124.0 m)",Universal Studios Japan,Operating,Bolliger & Mabillard,52–78 in (132–198 cm),Flying Coaster - Custom,Chain lift hill,"JPY$10,000,000,000",4 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,,,,,124 ft (38 m),,,,,,,,,,,,,,,,,,,2016,34.6634,135.4305,Steel,3/18/2016,62 mph ,100 km/h,62,mph,62,151,ft,,5,
Formuła (Energylandia),"560 m (1,840 ft)",Energylandia,Operating,Vekoma,120–195[2] cm (3 ft 11 in–6 ft 5 in),Space Warp Launch Coaster,LSM,,2 trains with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,Extreme Zone,,,,,,,,,,,,,,,,,,,,,0–100kph (62.1 mph) in 1.2 seconds,,,2016,,,Steel,6/25/2016,79.2 km/h ,49.2 mph,79.2,km/h,49.2,24.7,m,81,3,3.8
The Joker (Six Flags Discovery Kingdom),"3,200 ft (980 m)",Six Flags Discovery Kingdom,Operating,Rocky Mountain Construction,,I-Box,Chain lift hill,,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,DC Universe,2:00,,Alan Schilke,78°,,"May 25, 2016",,Roar,I-Box,,,,,,,Must transfer from wheelchair,,,,,,,,2016,,,Other,5/29/2016,53 mph ,85 km/h,53,mph,53,100,ft,,3,
Lightning Rod (roller coaster),"3,800 ft (1,200 m)",Dollywood,Operating,Rocky Mountain Construction,48 in (122 cm),Topper and I-Box Track,Linear Synchronous Motor,$22 million,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Jukebox Junction,3:12[1],,Alan Schilke,73°,165 ft (50 m),,,,Terrain,,,,,,,,,Single rider line available,,,,,,2016,,,Steel,6/13/2016,73 mph ,117 km/h,73,mph,73,,,,0,3.5
Lost Gravity (roller coaster),"680 m (2,230 ft)",Walibi Holland,Operating,Mack Rides,140 cm (4 ft 7 in),BigDipper,Chain lift hill,,4 trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,Zero Zone,2:33,800 riders per hour,,90°,,,,,,,,,,,,,,,,,,,,2016,52.4424,5.7663,Steel,3/24/2016,87 km/h ,54 mph,87,km/h,54.1,32,m,105,2,4.3
Mako (roller coaster),"4,760 ft (1,450 m)",SeaWorld Orlando,Operating,Bolliger & Mabillard,54[1] in (137 cm),Hyper Coaster,Chain,,3 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,Sea of Mystery,,,,,200 ft (61 m),"June 2, 2016",,,Out and back,,,,,,,,,,,,,,,2016,28.4095,-81.4591,Steel,6/10/2016,73 mph ,117 km/h,73,mph,73,200,ft,,0,
The Monster (Adventureland),"762 m (2,500 ft)",Adventureland (Iowa),Operating,Gerstlauer,48 in (122 cm),Infinity Coaster,Vertical Chain Lift Hill,$9 million,,,2 minutes,3 cars - 8 riders each - 720 riders per hour,,101°,,,,River Rapids Log Flume,Infinity Coaster - Custom,,,,,,,,,,,,,,,2016,41.6518,-93.5014,Steel,6/4/2016,105 km/h ,65 mph,105,km/h,65.2,40.6,m,133.2,5,
Pulsar (roller coaster),217 m (712 ft),Walibi Belgium,Operating,Mack Rides,,PowerSplash,LSM launch,"€8,500,000",2 trains with a single car. Riders are arranged 4 across in 5 rows for a total of 20 riders per train.,,1:18,950 riders per hour,,90°,,,,,,,,,,,,,,,,,,,,2016,50.6988,4.5903,Steel,6/4/2016,101 km/h ,63 mph,101,km/h,62.8,45,m,147.6,0,
Raik,689 ft (210 m),Phantasialand,Operating,Vekoma,,Junior Boomerang,Drive tire lift hill,,Single train with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,Klugheim,,720 riders per hour,,,,,,Silvermine,,,,,,,,,,,,,,,,2016,50.7996,6.8828,Steel,6/30/2016,38.5 mph ,62.0 km/h,38.5,mph,38.5,82,ft,,0,
Recoil (Wonderla Hyderabad),935 ft (285 m),Other,,Vekoma,48 in (122 cm),Boomerang,,,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,1:48,760 riders per hour,,,,,,,,,,,,,,,,,,,,,,2016,,,Steel,,47 mph ,76 km/h,47,mph,47,116.5,ft,,3,
Seven Dwarfs Mine Train,"2,000 ft (610 m)",Other,,Vekoma,38 in (97 cm),Custom,Two chain lift hills,,5[4] trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,,2:50,,Walt Disney Imagineering,,39 ft (12 m),,,"20,000 Leagues Under the Sea: Submarine Voyage (1971–94) Ariel's Grotto (1996-2004) Pooh's Playful Spot (2005–10)","MK700 ""J""",,,,,,,Must transfer from wheelchair,Snow White and the Seven Dwarfs,Single rider line available,,,,,Seven Dwarfs Mine Train七个小矮人矿山车,2016,,,Steel,,34 mph ,55 km/h,34,mph,34,,,,0,
Storm Chaser (roller coaster),"2,744 ft (836 m)",Kentucky Kingdom,Operating,Rocky Mountain Construction,,I-Box – Custom,Chain lift hill,$10 million,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,1:40,960 riders per hour,Alan Schilke,78°,,"April 28, 2016",,Twisted Twins,,,,,,,,,,,,,,,,2016,38.1958,-85.7503,Steel,4/30/2016,52 mph ,84 km/h,52,mph,52,100,ft,,3,3.8
Taron (roller coaster),"1,320 m (4,330 ft)",Phantasialand,Operating,Intamin,130 cm (4 ft 3 in),LSM Blitz Coaster,LSM,,4 trains with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,Klugheim,,"1,200 riders per hour",,,,29-Jun-16,,Silvermine (Westernstadt),,,,,,,,,,,,,,,,2016,50.7996,6.8828,Steel,6/30/2016,117 km/h ,73 mph,117,km/h,72.7,30,m,98.4,0,
The Joker (Six Flags Great Adventure),"1,019 ft (311 m)",Other,,S&S – Sansei Technologies,48 in (122 cm),4D Free Spin,Chain lift hill,,5 trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,,,720 riders per hour,Alan Schilke,,54 ft (16 m),,,,,,,,,,,,,Single rider line available,,Flash Pass available,,,,2016,,,Steel,,38 mph ,61 km/h,38,mph,38,120,ft,,6,
Tron Lightcycle Power Run,"3,169.3 ft (966.0 m)",Other,,Vekoma,4[2] ft (122 cm),Motorbike roller coaster,LIM Launch,,7 trains with 7 cars. Riders are arranged 2 across in a single row for a total of 14 riders per train.,,~2:00,"1,680 riders per hour",Walt Disney Imagineering,,,,,,,,,,,,,Must transfer from wheelchair,Tron,Single rider line available,,,,,TRON Lightcycle / Run,2016,,,Steel,6/16/2016,59.3 mph ,95.4 km/h,59.3,mph,59.3,78.1,ft,,0,4
Valravn (roller coaster),"3,415 ft (1,041 m)",Cedar Point,Operating,Bolliger & Mabillard,52–78 in (132–198 cm),Dive Coaster,Chain lift hill,,3 trains with 3 cars. Riders are arranged 8 across in a single row for a total of 24 riders per train.,Main Midway,2:23,"1,200 riders per hour",,90°,214 ft (65 m),"May 6, 2016",,Good Time TheatreTurnpike Cars[1],,,,,,,,,,,,,,,,2016,41.4813,-82.684,Steel,5/7/2016,75 mph ,121 km/h,75,mph,75,223,ft,,3,
Wildfire (Kolmården Wildlife Park),"1,265 m (4,150 ft)",Kolmården Wildlife Park,Operating,Rocky Mountain Construction,,Topper Track - Custom,Chain lift hill,"110 million SEK ($11,990,000 USD as of August 2018)",2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,2:00,960 riders per hour,Alan Schilke,83°,49 m (161 ft),,,,Terrain,,,,,Official website,,,,,,,,,,2016,58.6653,16.4664,Wood,6/28/2016,115 km/h ,71 mph,115,km/h,71.5,56,m,183.7,3,4
Dawson Duel (roller coaster),"1,607.6 ft (490.0 m)",Other,Operating,Wiegand,100 cm (3 ft 3 in),Sport Coaster,Cable lift hill,"€4,000,000",46 trains with a single car. Riders are arranged 1 across in 2 rows for a total of 2 riders per train.,Canada,,800 riders per hour,,,,,,,,,,,,,,Must transfer from wheelchair,,,,,,,,2017,50.8483,2.9475,Steel,5/5/2017,24.9 mph ,40.1 km/h,24.9,mph,24.9,82,ft,,0,
DC Rivals HyperCoaster,"1,400.0 m (4,593.2 ft)",Warner Bros. Movie World,Operating,Mack Rides,130 cm (4 ft 3 in),Hyper Coaster,Chain,AU$30 million($30 million in 2018 dollars[1]),2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,,960 riders per hour,,,59.4 m (195 ft),16 September 2017,,,,,,,,Official website,,,DC Universe,Single rider line available,,,,,,2017,-27.908,153.314,Steel,9/22/2017,115.1 km/h ,71.5 mph,115.1,km/h,71.5,61.6,m,202.1,0,4.3
Dragon's Run,"3,738 ft (1,139 m)",Other,,Bolliger & Mabillard,54 in (137 cm),Sitting Coaster,Chain lift hill,,8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,,,,,150 ft (46 m),"April 15, 2008",,,,,"September 27, 2009",,,,,Must transfer from wheelchair,,,,,,,,2017,,,Steel,,65 mph ,105 km/h,65,mph,65,155,ft,,6,
Gold Rush (Slagharen),,Attractiepark Slagharen,Operating,Gerstlauer,130 cm (4 ft 3 in),Infinity Coaster,Linear motor launch,"€5,000,000",Single train with 5 cars. Riders are arranged 4 across in a single row for a total of 20 riders per train.,,,800 riders per hour,,,,,,Thunder Loop,,,,,,,,,,,,,,,,2017,52.6244,6.5619,Steel,4/13/2017,59 mph ,95 km/h,59,mph,59,108.3,ft,,2,
Hydrus (roller coaster),"1,050 ft (320 m)",Casino Pier,Operating,Gerstlauer,,320,,,2 trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,,,,Werner Stengel,97°,70 ft (21 m),"May 6, 2017",,Star Jet,,,,,,,,,,,,,,,,2017,39.9428,-74.0721,Steel,5/26/2017,45 mph ,72 km/h,45,mph,45,72,ft,,3,
InvadR,"2,118 ft (646 m)",Busch Gardens Williamsburg,Operating,Great Coasters International,46 in (117 cm),,Chain lift hill,,2 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,New France,,,"Jeff PikeSkyline Design, LLC",,74 ft (23 m),,,,,,,,,,,,,,,,,Lap Bar,,2017,37.2325,-76.6486,Wood,4/7/2017,48 mph ,77 km/h,48,mph,48,60,ft,,0,
Kraken (roller coaster),"4,177 ft (1,273 m)",SeaWorld Orlando,Operating,Bolliger & Mabillard,54 in (137 cm),Custom,Chain lift hill,,3 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Sea of Legends,2:02,1500 riders per hour,Werner Stengel,,144 ft (44 m),"May 27, 2000",,,,,,,,,,Must transfer from wheelchair,,,,,,,,2017,28.4111,-81.4583,Steel,6/1/2000,65 mph ,105 km/h,65,mph,65,153,ft,,7,3.9
Lech Coaster,"908 m (2,979 ft)",Legendia,Operating,Vekoma,120–195[4] cm (3 ft 11 in–6 ft 5 in),Bermuda Blitz,Chain lift hill,12 Million Euro,2 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,,1:44[2],1000[3] riders per hour,,,,,,,,,,,,,,,,,,,,,,2017,,,Steel,7/1/2017,95 km/h ,59 mph,95,km/h,59,40,m,131.2,3,
Mine Blower,"2,290 ft (700 m)",Fun Spot America (Kissimmee),Operating,The Gravity Group,48 in (122 cm),,Chain lift hill,"$6,000,000 ",2 trains with 6 cars. Riders are arranged 2 across in a single row for a total of 12 riders per train.,,,,,65°,80.5 ft (24.5 m),,,Go-Karts[1],,,,,,,,,,,,,,,,2017,,,Wood,6/23/2017,48.5 mph ,78.1 km/h,48.5,mph,48.5,83,ft,,1,
Mystic Timbers,"3,265 ft (995 m)",Kings Island,Operating,Great Coasters International,48 in (122 cm),,Chain lift hill,"$15,000,000 ",3 trains with 12 cars. Riders are arranged 2 across in a single row for a total of 24 riders per train.,Rivertown,2:00,1200 riders per hour,Skyline Design,,98 ft (30 m),"April 13, 2017",,,,,,,,Official website,,,,,,,,,,2017,,,Wood,4/15/2017,53 mph ,85 km/h,53,mph,53,109,ft,,0,
Patriot (California's Great America),"1,920 ft (590 m)",California's Great America,Operating,Bolliger & Mabillard,54–78[1] in (137–198 cm),Floorless Coaster,Chain lift hill,,2 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,Hometown Square,2:14,1200 riders per hour,Werner Stengel,,,,Fast Lane available,,,,,,,,,,,,,,,,,2017,37.3967,-121.9732,Steel,3/9/1991,45 mph ,72 km/h,45,mph,45,91,ft,,2,
Pégase Express,"3,044.6 ft (928.0 m)",Parc Astérix,Operating,Gerstlauer,100 cm (3 ft 3 in),Family Coaster,,"€16,000,000",4 trains with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,La Grèce Antique,3:00,1200 riders per hour,Jora Vision,,,,,,Out and Back,,,,,,,,,,,,,,,2017,49.1336,2.5737,Steel,6/11/2017,32.3 mph ,52.0 km/h,32.3,mph,32.3,68.8,ft,,0,
Red Force (roller coaster),"880 m (2,890 ft)",Ferrari Land,Operating,Intamin,140–195 cm (4 ft 7 in–6 ft 5 in),,LSM,,3 cars. Riders are arranged 2 across in 2 rows for a total of 12 riders per train.,,,1200 riders per hour,,90°,,,,,,,,,,,,,,,,,0 to 180 km/h (0 to 112 mph) in 5 seconds,,,2017,,,Steel,4/7/2017,180 km/h ,112 mph,180,km/h,111.8,112,m,367.5,0,
Star Trek: Operation Enterprise,"720 m (2,360 ft)",Movie Park Germany,Operating,Mack Rides,130 cm (4 ft 3 in),,LSM launch,,5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,,,,,,,24-May-17,,,,,,,,,,,,,,,,,,2017,51.6223,6.9729,Steel,6/14/2017,90 km/h ,56 mph,90,km/h,55.9,40,m,131.2,3,
Star Wars Hyperspace Mountain,"3,281 ft (1,000 m)",Disneyland Park (Paris),Operating,Vekoma,47.2 in (120 cm),,Electric Winch Launch / Booster wheels (second lift),,5 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Discoveryland,2:15,2400 riders per hour,Walt Disney ImagineeringWerner Stengel,,,,,,,,,,,,,Must transfer from wheelchair,,Single rider line available,,,,,,2017,48.8741,2.7793,Steel,5/7/2017,44 mph ,71 km/h,44,mph,44,105,ft,,3,
The Joker (Six Flags Great America),"1,019 ft (311 m)",Other,,S&S – Sansei Technologies,48 in (122 cm),4D Free Spin,Chain lift hill,,5 trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,,,720 riders per hour,Alan Schilke,,54 ft (16 m),,,,,,,,,,,,,Single rider line available,,Flash Pass available,,,,2017,,,Steel,,38 mph ,61 km/h,38,mph,38,120,ft,,6,
The Joker (Six Flags New England),"1,019 ft (311 m)",Other,,S&S – Sansei Technologies,48 in (122 cm),4D Free Spin,Chain lift hill,,5 trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,,,720 riders per hour,Alan Schilke,,54 ft (16 m),,,,,,,,,,,,,Single rider line available,,Flash Pass available,,,,2017,,,Steel,,38 mph ,61 km/h,38,mph,38,120,ft,,6,
The Joker (Six Flags Over Texas),"1,019 ft (311 m)",Other,,S&S – Sansei Technologies,48 in (122 cm),4D Free Spin,Chain lift hill,,5 trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,,,720 riders per hour,Alan Schilke,,54 ft (16 m),,,,,,,,,,,,,Single rider line available,,Flash Pass available,,,,2017,,,Steel,,38 mph ,61 km/h,38,mph,38,120,ft,,6,
Wave Breaker: The Rescue Coaster,"2,600 ft (790 m)",SeaWorld San Antonio,Operating,Intamin,48 in (122 cm),Family Launch Coaster,,"$18,000,000 ",3 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,,,886 riders per hour,SeaWorld Parks & Entertainment,,,10-Jun-17,,,Out and Back,,,,,,,,,,,,,,,2017,29.4553,-98.6961,Steel,6/16/2017,44 mph ,71 km/h,44,mph,44,61,ft,,0,
Adrenaline Peak,"1,050 ft (320 m)",Oaks Amusement Park,Operating,Gerstlauer,48 in (122 cm),320,Chain lift hill,"$5,000,000 ",3 trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,South End,,,,97°,70 ft (21 m),,,Looping Thunder,,,,,,,,,,,,,,,,2018,45.4716,-122.6623,Steel,3/24/2018,45 mph ,72 km/h,45,mph,45,72,ft,,3,
Electric Eel (roller coaster),863 ft (263 m),SeaWorld San Diego,Operating,Premier Rides,54 in (137 cm),Sky Rocket II,LSM Launch,,Single train with 3 cars. Riders are arranged 2 across in 3 rows for a total of 18 riders per train.,,0:45,720 riders per hour,,,135 ft (41 m),,,,,,,,,Official site,,,,,,,,,,2018,32.765,-117.224,Steel,5/10/2018,62 mph ,100 km/h,62,mph,62,150,ft,,1,
Fēnix (roller coaster),"2,667 ft (813 m)",Toverland,Operating,Bolliger & Mabillard,132–195 cm (4 ft 4 in–6 ft 5 in),Wing Coaster,Chain,"€13,000,000",2 trains with 6 cars. Riders are arranged 4 across in a single row for a total of 24 riders per train.,Avalon,1:45,"1,000 riders per hour",,,,,,,,,,,,,,,,,,,,,,2018,51.3997,5.985,Steel,7/7/2018,59 mph ,95 km/h,59,mph,59,131,ft,,3,5
HangTime (roller coaster),"2,198 ft (670 m)",Knott's Berry Farm,Operating,Gerstlauer,48–77 in (122–196 cm),Infinity Coaster,Vertical chain lift hill,,3 trains with 4 cars. Riders are arranged 4 across in a single row for a total of 16 riders per train.,The Boardwalk,,800 riders per hour,,96°,,,Fast Lane available,Boomerang,Custom - Infinity Coaster,,,,,,,Must transfer from wheelchair,,,,,,,,2018,33.8448,-118.0015,Steel,5/18/2018,57 mph ,92 km/h,57,mph,57,150,ft,,5,
Hyperion (roller coaster),"1,450 m (4,760 ft)",Energylandia,Operating,Intamin,140–195[3] cm (4 ft 7 in–6 ft 5 in),Mega coaster,Chain lift hill[2],,2 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,Extreme Zone,,"1,300 riders per hour",,85°,82 m (269 ft),,,,,,,,,,,,,,,,,,,2018,,,Steel,7/14/2018,142 km/h ,88 mph,142,km/h,88.2,77,m,252.6,1,4.8
Icon (roller coaster),"3,750 ft (1,140 m)",Blackpool Pleasure Beach,Operating,Mack Rides,51.2 in (130 cm),Launch Coaster (Custom),LSM-launch (x2),"£16,250,000",3 trains with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,,2:41,,Mack Rides GmbH & Co. KG,,82 ft (25 m),,,,,,,,,,,,,,,,,,,2018,53.7903,-3.0556,Steel,5/25/2018,52.8 mph ,85.0 km/h,52.8,mph,52.8,88.5,ft,,1,4.3
Incredicoaster,"6,072 ft (1,851 m)",Disney California Adventure,Operating,Intamin,48 in (122 cm),Looping Coaster,Linear induction motor (LIM)[1],US$60 million,7 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Pixar Pier,2:36,,Walt Disney Imagineering,,108 ft (33 m),,,,Custom,,,,,,,Must transfer from wheelchair,Boardwalk wooden coaster (2001 - 2018)The Incredibles (2018 - present),Single rider line available,,,0 to 55 mph (0 to 89 km/h) in 4.5 seconds,Over-the-shoulders restraint,,2018,33.8046,-117.9218,Steel,2/8/2001,55 mph ,89 km/h,55,mph,55,122,ft,,1,
Merlin's Mayhem,"1,300 ft (400 m)",Dutch Wonderland,Operating,S&S – Sansei Technologies,39 in (99 cm),Family Inverted Coaster,Chain lift hill,"$7,500,000 ",Single train with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,,1:00,,Joe Draves,,,,,Turnpike,Twister,,,,,Official website,,,,,,,,,,2018,40.0287,-76.2186,Steel,4/28/2018,,,,,,60,ft,,0,
